Film,Lead Studio,Critic Rating,Audience Rating,Story,Genre,Opening Weekend Theaters,Opening Weekend per Cinema,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Profitability,Opening Weekend Revenue,Oscar,Bafta
Average,,52.84,61.42,,,"2,810.31","8,764.92",61.33,93.53,144.86,52.25,3.4153,20.14,,
The Tree Of Life,Independant,84,61,Discovery,Drama,4,93230,13.30,41.00,54.30,32,1.6970,0.37,,
Midnight in Paris,Sony,93,84,Love,Romance,944,61777,56.18,83.00,139.18,17,8.1869,5.83,,
The Descendants,20th Century Fox,89,88,Discovery,Drama,29,41038,24.54,?,24.54,20,1.2271,4.38,,
Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,4375,38672,381.01,947.10,"1,328.11",125,10.6249,169.19,,
Twilight: Breaking Dawn,Independant,26,68,Love,Romance,4061,34012,260.80,374.00,634.80,110,5.7709,138.12,,
Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,4088,23937,352.39,770.81,"1,123.20",195,5.7600,97.85,,
The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.46,327.00,581.46,80,7.2683,85.95,,
Fast Five,Universal,78,83,Escape,Action,3644,23655,209.83,416.3,626.13,125,5.0090,,,
"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,4155,21697,241.07,802.80,"1,043.87",250,4.1755,90.15,,
Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,3715,17512,176.65,191.75,368.40,140,2.6315,65.06,,
Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,267.48,448.51,150,2.9901,65.72,,
Cars 2,Pixar,38,56,Fish Out Of Water,Animation,4115,16072,191.45,360.40,551.85,200,2.7593,66.14,,
Paranormal Activity 3,Independant,68,58,Monster Force,Horror,3321,15829,103.66,98.24,201.90,5,40.3794,52.57,,
X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.41,207.22,353.62,160,2.2101,55.10,,
Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,3648,15024,176.70,304.52,481.23,93,5.1745,54.81,,
Green Lantern,Warner Bros,27,48,Metamorphosis,Action,3816,13935,116.60,103.25,219.85,200,1.0993,53.17,,
Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,3925,12142,165.25,497.78,663.02,150,4.4202,47.66,,
Super 8,Paramount,82,78,Monster Force,Horror,3379,10492,127.00,132.71,259.71,50,5.1943,35.45,,
Hop,Relativity Media,26,50,Fish Out Of Water,Animation,3579,10490,108.09,75.87,183.95,63,2.9199,37.54,,
The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,3395,10489,142.61,419.54,562.16,110,5.1105,35.61,,
Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,3417,10411,83.55,128.27,211.82,70,3.0260,35.57,,
Bad Teacher,Independant,44,38,Comedy,Comedy,3049,10365,100.29,115.90,216.20,20,10.8098,31.60,,
Immortals,Relativity Media,36,59,Revenge,Action,3112,10349,80.49,102.00,182.49,75,2.4331,32.21,,
The Help,DreamWorks Pictures,75,91,Maturation,Drama,2534,10278,169.22,30.10,199.32,25,7.9730,26.04,,
Rio,20th Century Fox,71,73,Quest,Animation,3826,10252,143.62,341.02,484.63,90,5.3848,39.23,,
Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.26,121.90,245.15,135,1.8160,38.08,,
Cowboys and Aliens,Universal,44,50,Monster Force,Action,3750,9715,100.24,74.58,174.82,163,1.0725,36.43,,
The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.80,129.00,227.80,120,1.8983,33.50,,
Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,3040,9310,117.54,92.10,209.64,35,5.9897,28.30,,
Bridesmaids,Relativity Media,90,77,Rivalry,Comedy,2918,8995,169.11,119.28,288.38,32.5,8.8733,26.25,,
Hugo,Paramount,93,84,,Adventure,1277,8899,,,,,,11.36,,
Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,142.09,142.30,284.39,130,2.1876,34.08,,
Just Go With It,Happy Madison,19,63,Comedy,Romance,3548,8601,103.03,111.92,214.95,80,2.6868,30.51,,
The Muppets,Disney,97,87,Quest,Comedy,3440,8500,66.63,5.80,72.43,45,1.6095,29.24,,
Gnomeo and Juliet,Disney,56,52,Love,Animation,2994,8469,99.97,94.00,193.97,36,5.3880,25.36,,
Real Steel,DreamWorks Pictures,58,81,Underdog,Action,3440,7942,83.61,186.20,269.81,110,2.4528,27.32,,
Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox,47,63,Comedy,Comedy,3167,7500,52.70,19.72,72.42,21,3.4484,23.75,,
The Adjustment Bureau,Independant,72,67,Sacrifice,Thriller,2840,7450,62.50,65.37,127.87,50.2,2.5472,21.16,,
Jack and Jill,Happy Madison,4,59,Comedy,Comedy,3438,7273,68.91,15.00,83.91,79,1.0622,25.00,,
Unknown,Independant,55,57,The Riddle,Thriller,3043,7183,63.69,67.10,130.79,30,4.3595,21.86,,
My Week with Marilyn,The Weinstein Company,83,84,Love,Drama,247,7174,5.31,2.95,8.26,10,0.8258,1.75,,
Tower Heist,Relativity,68,61,Revenge,Comedy,3367,7135,74.50,47.00,121.50,75,1.6201,24.03,,
Contagion,Warner Bros,84,63,The Riddle,Thriller,3222,6935,75.64,59.80,135.44,60,2.2574,22.40,,
Limitless,Virgin,69,73,Wretched Excess,Thriller,2756,6860,79.25,82.60,161.85,27,5.9944,18.91,,
Moneyball,Columbia,95,89,Underdog,Drama,2993,6516,74.21,27.90,102.11,50,2.0422,19.50,,
No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.60,77.10,147.70,25,5.9080,19.70,,
Friends With Benefits,Warner Bros,71,68,Temptation,Romance,2926,6364,55.80,93.74,149.54,35,4.2726,18.62,,
"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,3020,6326,84.34,58.50,142.84,50,2.8568,19.10,,
Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.39,53.40,89.79,82,1.0950,19.06,,
I Am Number Four,Paramount,32,57,Maturation,Thriller,3154,6167,55.10,89.40,144.50,60,2.4083,19.45,,
The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.40,0.40,4.80,15,0.3200,0.60,,
The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.50,21.20,69.70,70,0.9957,17.80,,
Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.71,58.39,117.09,38,3.0814,16.84,,
The Roommate,Independant,4,29,Monster Force,Horror,2534,5921,37.30,3.19,40.49,16,2.5308,15.00,,
Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,3606,5889,57.31,49.20,106.51,135,0.7889,21.24,,
J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,1910,5873,35.06,??,35.06,35,1.0016,11.22,,
Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.94,170.30,80,2.1288,20.07,,
Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,3155,5715,42.59,115.30,157.89,40,3.9472,18.03,,
Scream 4,Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.96,97.14,40,2.4284,18.69,,
Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,3339,5524,68.22,119.14,187.36,55,3.4065,18.45,,
Insidious,Sony,67,65,Monster Force,Horror,2408,5511,54.01,43.00,97.01,1.5,64.6727,13.27,,
Dolphin Tale,Independant,84,81,Quest,Drama,3507,5461,71.08,16.86,87.95,37,2.3769,19.15,,
The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.18,14.25,45.43,20,2.2715,9.91,,
Beastly,CBS Films,19,50,Metamorphosis,Romance,1952,5047,27.87,0.97,28.83,17,1.6961,9.85,,
Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.71,68.57,123.28,32,3.8524,14.81,,
The Conspirator,Independant,56,65,Underdog,Drama,707,4960,11.54,2.67,14.21,25,0.5684,3.51,,
The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33.00,63.00,96.00,37,2.5946,14.80,,
The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.40,6.37,21,0.3033,0.11,,
Hanna,Universal,71,67,Quest,Action,2535,4880,40.26,23.52,63.78,30,2.1260,12.37,,
The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.01,17.00,75.01,40,1.8752,13.21,,
Something Borrowed,Independant,?,?,Love,Romance,2904,4802,39.05,21.14,60.18,35,1.7195,13.95,,
Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.85,0.41,44.27,18,2.4593,10.60,,
The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.49,13.70,54.19,12.5,4.3355,10.47,,
Footloose,Spyglass Entertainment,71,71,Transformation,Drama,2199,4761,51.16,10.90,62.05,24,2.5855,15.56,,
Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.41,60.57,97.98,40,2.4496,13.04,,
The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,2913,4645,37.08,33.75,70.83,52,1.3622,13.53,,
Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.66,51.50,89.16,42,2.1229,14.01,,
30 Minutes or Less,Independant,43,48,Comedy,Comedy,2888,4616,37.05,3.49,40.55,28,1.4481,13.33,,
Hall Pass,Warner Bros,35,44,Temptation,Comedy,2950,4588,45.06,38.10,83.16,36,2.3100,13.54,,
A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,2875,4506,34.04,??,34.04,19,1.7918,12.95,,
Larry Crowne,Universal,34,46,Discovery,Drama,2973,4405,35.61,16.80,52.41,30,1.7469,13.10,,
The Mechanic,Independant,53,52,Revenge,Action,2703,4226,29.20,22.00,51.20,40,1.2800,11.40,,
Colombiana,Sony,28,55,Revenge,Action,2614,3982,36.67,24.30,60.97,40,1.5241,10.41,,
Drive,Independant,93,79,Rivalry,Thriller,2886,3929,34.68,32.33,67.01,15,4.4671,11.34,,
In Time,Regency Enterprises,38,55,The Riddle,Thriller,3122,3860,36.49,90.90,127.39,40,3.1848,12.05,,
Anonymous,Relativity Media,46,66,Tragedy,Drama,265,3856,4.46,9.73,14.19,30,0.4730,1.02,,
The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.63,27.12,25,1.0848,8.68,,
Season Of The Witch,Relativity,10,32,Monster Force,Action,2816,3769,24.80,66.80,91.60,40,2.2900,12.00,,
Arthur,Warner Bros,26,49,Sacrifice,Comedy,3276,3731,33.04,12.70,45.74,40,1.1434,12.22,,
Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,3376,3537,33.70,57.50,91.20,150,0.6080,12.07,,
Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,3295,3534,38.54,35.54,74.08,27,2.7437,11.64,,
50/50,Independant,93,93,Discovery,Comedy,2458,3517,34.90,1.62,36.51,8,4.5639,8.64,,
Abduction,Vertigo Entertainment,4,46,Maturation,Action,3118,3504,28.07,54.00,82.07,35,2.3448,10.93,,
Sanctum,Relativity Media,30,39,Quest,Action,2787,3390,23.20,85.40,108.60,30,3.6200,9.40,,
Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.60,3.26,24.86,49.9,0.4981,9.36,,
Conan the Barbarian,Lionsgate,22,34,Quest,Action,3015,3324,21.30,27.50,48.80,90,0.5422,10.02,,
Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.69,6.46,33.15,30,1.1051,7.86,,
Killer Elite,Independant,25,48,Rivalry,Action,2986,3132,25.12,27.84,52.96,70,0.7566,9.35,,
Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,2760,3089,24.05,7.50,31.55,25,1.2618,8.53,,
Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,2661,3055,21.30,17.20,38.50,50,0.7700,8.13,,
Monte Carlo,20th Century Fox,38,50,Love,Romance,2473,3014,23.18,16.48,39.66,20,1.9832,7.45,,
Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.88,19.83,38.70,25,1.5481,8.40,,
Waiting For Forever,Independant,6,53,Love,Romance,3,2972,0.03,?,0.03,5,0.0050,0.01,,
One Day,Independant,37,54,Love,Romance,1719,2955,13.84,41.40,55.24,15,3.6827,5.08,,
The Three Musketeers,Independant,24,48,Rivalry,Action,3017,2875,20.25,111.90,132.15,75,1.7620,8.67,,
The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.93,10.50,27.43,38,0.7218,8.49,,
Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.66,9.40,23.06,25,0.9223,5.24,,
Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.82,??,24.82,5,4.9632,,,
Apollo 18,Weinstein Company,23,31,Monster Force,Horror,3328,2615,17.69,7.88,25.56,5,5.1124,8.70,,
Fright Night,DreamWorks,75,68,Rivalry,Horror,3114,2477,18.30,18.80,37.10,30,1.2367,7.71,,
Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,1552,2470,8.31,149.63,157.94,45,3.5098,3.83,,
Drive Angry,Independant,45,38,Rescue,Action,2990,2265,10.72,18.21,28.93,45,0.6429,5.19,,
The Rum Diary,Independant,50,48,Discovery,Drama,2273,2259,13.07,8.48,21.55,45,0.4789,5.14,,
Priest,Sony,17,37,Monster Force,Action,2864,2221,29.14,49.17,78.31,60,1.3051,14.95,,
Mars Needs Moms,Disney,36,43,Rescue,Animation,3117,2218,21.39,17.60,38.99,150,0.2599,6.91,,
What's Your Number,20th Century Fox,24,50,Transformation,Comedy,3002,1806,14.01,16.42,30.43,20,1.5213,5.42,,
Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.93,?,6.93,25,0.2771,3.46,,
The Big Year,Independant,38,62,Transformation,Comedy,2150,1513,7.17,0.24,7.41,41,0.1807,3.25,,
Never Back Down 2: The Beatdown,Sony,?,?,Rivalry,Action,,,,,41.63,3,13.8757,8.60,,
A Dangerous Method,Independant,79,89,Love,Drama,,,0.54,8.44,8.97,20,0.4486,0.17,,
Take Shelter,Independant,92,85,Sacrifice,Drama,,,1.57,?,1.57,5,0.3146,0.05,,
Beginners,Independant,84,80,Love,Comedy,,,5.79,8.39,14.18,3.2,4.4319,0.14,,
Jane Eyre,Universal,85,77,Love,Romance,,,11.24,18.91,30.15,??,,0.18,,
Another Earth,Independant,63,74,Temptation,Fantasy,,,1.32,,1.32,0.2,6.6050,0.08,,
Margin Call,Independant,86,73,Sacrifice,Thriller,,,4.94,3.93,8.87,3.5,2.5340,0.56,,
Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,,0.54,0.57,1.10,30,0.0368,0.05,,
Hesher,Independant,54,68,Wretched Excess,Drama,,,0.38,??,0.38,7,0.0546,0.13,,
Vanishing on 7th Street,Independant,52,62,Monster Force,Horror,,,0.02,1.05,1.07,10,0.1067,0.00,,
Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,,6.86,,6.86,10,0.6861,0.30,,
The Son Of No One,Independant,18,61,Discovery,Thriller,,,0.03,?,0.03,15,0.0020,0.02,,
Red State,Independant,57,59,Escape,Horror,,,1.10,?,1.10,4,0.2760,?,,
Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,,2.71,,2.71,5,0.5422,0.79,,
Dylan Dog: Dead of Night,Independant,6,28,Monster Force,Horror,,,1.19,3.45,4.63,20,0.2317,0.75,,
Trespass,Independant,11,24,Escape,Thriller,,,0.02,3.10,3.12,35,0.0893,0.02,,
